 ;City of W. Point Welcome Centr / CO2 avoidance / Meter Change  [kg]0
11/1/20;7.678
11/2/20;8.878
11/3/20;8.456
11/4/20;8.180
11/5/20;6.941
11/6/20;7.853
11/7/20;1.983
11/8/20;2.654
11/9/20;4.455
11/10/20;1.476
11/11/20;1.625
11/12/20;6.001
11/13/20;8.019
11/14/20;7.790
11/15/20;3.336
11/16/20;8.327
11/17/20;8.341
11/18/20;8.119
11/19/20;8.094
11/20/20;6.287
11/21/20;5.426
11/22/20;3.900
11/23/20;8.253
11/24/20;7.763
11/25/20;3.170
11/26/20;4.229
11/27/20;5.083
11/28/20;4.382
11/29/20;0.432
11/30/20;1.275
